environment,family,action,bucket,n_unique_pairs,mean_delta,nonzero_fraction,both_rank_one_fraction,both_absent_fraction
fiqa_dense,direct_question,decomposed,2,25,-0.135,0.24,0.44,0.32
fiqa_dense,direct_question,decomposed,3,23,-0.2028985507246377,0.34782608695652173,0.5652173913043478,0.08695652173913043
fiqa_dense,indirect_question,keywords,-1,48,-0.07062665343915343,0.3541666666666667,0.4375,0.16666666666666666
fiqa_dense,indirect_question,keywords,2,18,-0.023148148148148154,0.16666666666666666,0.3333333333333333,0.3888888888888889
fiqa_dense,indirect_question,keywords,3,30,-0.09911375661375661,0.4666666666666667,0.5,0.03333333333333333
fiqa_dense,indirect_question,semantic,-1,48,-0.11088789682539683,0.375,0.3541666666666667,0.16666666666666666
fiqa_dense,indirect_question,semantic,2,18,-0.13796296296296295,0.3888888888888889,0.16666666666666666,0.3333333333333333
fiqa_dense,indirect_question,semantic,3,30,-0.09464285714285715,0.36666666666666664,0.4666666666666667,0.06666666666666667
fiqa_dense,indirect_question,hyde,-1,48,-0.17762896825396823,0.4166666666666667,0.3541666666666667,0.1875
fiqa_dense,indirect_question,hyde,2,18,-0.1574074074074074,0.3888888888888889,0.2222222222222222,0.3333333333333333
fiqa_dense,indirect_question,hyde,3,30,-0.18976190476190477,0.43333333333333335,0.43333333333333335,0.1
fiqa_dense,indirect_question,decomposed,-1,48,-0.1534970238095238,0.4583333333333333,0.3333333333333333,0.1875
fiqa_dense,indirect_question,decomposed,2,18,-0.13240740740740742,0.5,0.16666666666666666,0.3333333333333333
fiqa_dense,indirect_question,decomposed,3,30,-0.16615079365079363,0.43333333333333335,0.43333333333333335,0.1
nfcorpus_bm25,direct_question,keywords,-1,46,0.0,0.0,0.9347826086956522,0.0
nfcorpus_bm25,direct_question,keywords,2,25,0.0,0.0,0.88,0.0
nfcorpus_bm25,direct_question,keywords,3,21,0.0,0.0,1.0,0.0
nfcorpus_bm25,direct_question,semantic,-1,46,-0.15942028985507245,0.2608695652173913,0.7391304347826086,0.0
nfcorpus_bm25,direct_question,semantic,2,25,-0.16333333333333333,0.32,0.68,0.0
nfcorpus_bm25,direct_question,semantic,3,21,-0.15476190476190477,0.19047619047619047,0.8095238095238095,0.0
nfcorpus_bm25,direct_question,hyde,-1,46,-0.2635869565217391,0.41304347826086957,0.5869565217391305,0.0
nfcorpus_bm25,direct_question,hyde,2,25,-0.315,0.56,0.44,0.0
nfcorpus_bm25,direct_question,hyde,3,21,-0.20238095238095238,0.23809523809523808,0.7619047619047619,0.0
nfcorpus_bm25,direct_question,decomposed,-1,46,-0.21014492753623187,0.34782608695652173,0.6521739130434783,0.0
nfcorpus_bm25,direct_question,decomposed,2,25,-0.22333333333333336,0.4,0.6,0.0
nfcorpus_bm25,direct_question,decomposed,3,21,-0.19444444444444448,0.2857142857142857,0.7142857142857143,0.0
nfcorpus_bm25,indirect_question,keywords,-1,46,0.004140786749482402,0.08695652173913043,0.782608695652174,0.06521739130434782
nfcorpus_bm25,indirect_question,keywords,2,22,-0.022727272727272728,0.045454545454545456,0.7727272727272727,0.09090909090909091
nfcorpus_bm25,indirect_question,keywords,3,24,0.028769841269841275,0.125,0.7916666666666666,0.041666666666666664
nfcorpus_bm25,indirect_question,semantic,-1,46,-0.007608695652173915,0.21739130434782608,0.7608695652173914,0.021739130434782608
nfcorpus_bm25,indirect_question,semantic,2,22,-0.029870129870129877,0.2727272727272727,0.7272727272727273,0.0
nfcorpus_bm25,indirect_question,semantic,3,24,0.01279761904761905,0.16666666666666666,0.7916666666666666,0.041666666666666664
nfcorpus_bm25,indirect_question,hyde,-1,46,-0.1702639751552795,0.5,0.5,0.0
nfcorpus_bm25,indirect_question,hyde,2,22,-0.22602813852813855,0.5909090909090909,0.4090909090909091,0.0
nfcorpus_bm25,indirect_question,hyde,3,24,-0.11914682539682538,0.4166666666666667,0.5833333333333334,0.0
nfcorpus_bm25,indirect_question,decomposed,-1,46,-0.09453071083505865,0.30434782608695654,0.6521739130434783,0.043478260869565216
nfcorpus_bm25,indirect_question,decomposed,2,22,-0.03333333333333335,0.2727272727272727,0.6818181818181818,0.045454545454545456
nfcorpus_bm25,indirect_question,decomposed,3,24,-0.1506283068783069,0.3333333333333333,0.625,0.041666666666666664
nfcorpus_dense,direct_question,keywords,-1,46,0.008333333333333333,0.06521739130434782,0.9130434782608695,0.0
nfcorpus_dense,direct_question,keywords,2,25,0.015333333333333332,0.12,0.88,0.0
nfcorpus_dense,direct_question,keywords,3,21,0.0,0.0,0.9523809523809523,0.0
nfcorpus_dense,direct_question,semantic,-1,46,-0.01847826086956522,0.10869565217391304,0.8695652173913043,0.0
nfcorpus_dense,direct_question,semantic,2,25,-0.03066666666666667,0.16,0.8,0.0
nfcorpus_dense,direct_question,semantic,3,21,-0.003968253968253967,0.047619047619047616,0.9523809523809523,0.0
nfcorpus_dense,direct_question,hyde,-1,46,-0.09782608695652174,0.21739130434782608,0.7391304347826086,0.0
nfcorpus_dense,direct_question,hyde,2,25,-0.15466666666666667,0.32,0.6,0.0
nfcorpus_dense,direct_question,hyde,3,21,-0.030158730158730156,0.09523809523809523,0.9047619047619048,0.0
nfcorpus_dense,direct_question,decomposed,-1,46,-0.11141304347826086,0.2826086956521739,0.6956521739130435,0.0
nfcorpus_dense,direct_question,decomposed,2,25,-0.19166666666666665,0.44,0.52,0.0
nfcorpus_dense,direct_question,decomposed,3,21,-0.015873015873015872,0.09523809523809523,0.9047619047619048,0.0
nfcorpus_dense,indirect_question,keywords,-1,46,-0.049275362318840575,0.10869565217391304,0.8260869565217391,0.021739130434782608
nfcorpus_dense,indirect_question,keywords,2,22,-0.03409090909090909,0.045454545454545456,0.8636363636363636,0.045454545454545456
nfcorpus_dense,indirect_question,keywords,3,24,-0.06319444444444446,0.16666666666666666,0.7916666666666666,0.0
nfcorpus_dense,indirect_question,semantic,-1,46,-0.01811594202898551,0.1956521739130435,0.8043478260869565,0.0
nfcorpus_dense,indirect_question,semantic,2,22,0.011363636363636364,0.13636363636363635,0.8636363636363636,0.0
nfcorpus_dense,indirect_question,semantic,3,24,-0.045138888888888895,0.25,0.75,0.0
nfcorpus_dense,indirect_question,hyde,-1,46,-0.13442028985507248,0.3695652173913043,0.6304347826086957,0.0
nfcorpus_dense,indirect_question,hyde,2,22,-0.14242424242424245,0.36363636363636365,0.6363636363636364,0.0
nfcorpus_dense,indirect_question,hyde,3,24,-0.12708333333333333,0.375,0.625,0.0
nfcorpus_dense,indirect_question,decomposed,-1,46,-0.13913043478260873,0.32608695652173914,0.6739130434782609,0.0
nfcorpus_dense,indirect_question,decomposed,2,22,-0.09469696969696971,0.22727272727272727,0.7727272727272727,0.0
nfcorpus_dense,indirect_question,decomposed,3,24,-0.1798611111111111,0.4166666666666667,0.5833333333333334,0.0
scifact_bm25,direct_question,keywords,-1,48,0.0,0.0,0.9791666666666666,0.0
scifact_bm25,direct_question,keywords,2,17,0.0,0.0,1.0,0.0
scifact_bm25,direct_question,keywords,3,31,0.0,0.0,0.967741935483871,0.0
scifact_bm25,direct_question,semantic,-1,48,-0.03298611111111111,0.0625,0.9375,0.0
scifact_bm25,direct_question,semantic,2,17,-0.058823529411764705,0.058823529411764705,0.9411764705882353,0.0
scifact_bm25,direct_question,semantic,3,31,-0.018817204301075266,0.06451612903225806,0.9354838709677419,0.0
scifact_bm25,direct_question,hyde,-1,48,-0.045138888888888895,0.0625,0.9166666666666666,0.0
scifact_bm25,direct_question,hyde,2,17,-0.058823529411764705,0.058823529411764705,0.9411764705882353,0.0
scifact_bm25,direct_question,hyde,3,31,-0.03763440860215054,0.06451612903225806,0.9032258064516129,0.0
scifact_bm25,direct_question,decomposed,-1,48,-0.0642361111111111,0.14583333333333334,0.8541666666666666,0.0
scifact_bm25,direct_question,decomposed,2,17,-0.14705882352941177,0.23529411764705882,0.7647058823529411,0.0
scifact_bm25,direct_question,decomposed,3,31,-0.018817204301075266,0.0967741935483871,0.9032258064516129,0.0
scifact_bm25,indirect_question,keywords,-1,48,0.010416666666666666,0.020833333333333332,0.8958333333333334,0.041666666666666664
scifact_bm25,indirect_question,keywords,2,15,0.0,0.0,0.9333333333333333,0.0
scifact_bm25,indirect_question,keywords,3,33,0.015151515151515152,0.030303030303030304,0.8787878787878788,0.06060606060606061
scifact_bm25,indirect_question,semantic,-1,48,-0.02673611111111111,0.16666666666666666,0.8125,0.020833333333333332
scifact_bm25,indirect_question,semantic,2,15,-0.12222222222222223,0.2,0.8,0.0
scifact_bm25,indirect_question,semantic,3,33,0.016666666666666666,0.15151515151515152,0.8181818181818182,0.030303030303030304
scifact_bm25,indirect_question,hyde,-1,48,-0.05219907407407407,0.1875,0.7916666666666666,0.020833333333333332
scifact_bm25,indirect_question,hyde,2,15,-0.10000000000000002,0.2,0.8,0.0
scifact_bm25,indirect_question,hyde,3,33,-0.030471380471380472,0.18181818181818182,0.7878787878787878,0.030303030303030304
scifact_bm25,indirect_question,decomposed,-1,48,-0.06195436507936508,0.2708333333333333,0.7291666666666666,0.0
scifact_bm25,indirect_question,decomposed,2,15,-0.05714285714285715,0.13333333333333333,0.8666666666666667,0.0
scifact_bm25,indirect_question,decomposed,3,33,-0.06414141414141414,0.3333333333333333,0.6666666666666666,0.0
scifact_dense,direct_question,keywords,-1,48,0.010416666666666666,0.020833333333333332,0.9791666666666666,0.0
scifact_dense,direct_question,keywords,2,17,0.0,0.0,1.0,0.0
scifact_dense,direct_question,keywords,3,31,0.016129032258064516,0.03225806451612903,0.967741935483871,0.0
scifact_dense,direct_question,semantic,-1,48,0.0,0.0,0.9791666666666666,0.0
scifact_dense,direct_question,semantic,2,17,0.0,0.0,1.0,0.0
scifact_dense,direct_question,semantic,3,31,0.0,0.0,0.967741935483871,0.0
scifact_dense,direct_question,hyde,-1,48,-0.01388888888888889,0.041666666666666664,0.9583333333333334,0.0
scifact_dense,direct_question,hyde,2,17,-0.029411764705882353,0.058823529411764705,0.9411764705882353,0.0
scifact_dense,direct_question,hyde,3,31,-0.005376344086021506,0.03225806451612903,0.967741935483871,0.0
scifact_dense,direct_question,decomposed,-1,48,-0.036458333333333336,0.0625,0.9166666666666666,0.0
scifact_dense,direct_question,decomposed,2,17,0.0,0.0,1.0,0.0
scifact_dense,direct_question,decomposed,3,31,-0.056451612903225805,0.0967741935483871,0.8709677419354839,0.0
scifact_dense,indirect_question,keywords,-1,48,0.004513888888888889,0.10416666666666667,0.8333333333333334,0.0
scifact_dense,indirect_question,keywords,2,15,0.0,0.2,0.8,0.0
scifact_dense,indirect_question,keywords,3,33,0.0065656565656565654,0.06060606060606061,0.8484848484848485,0.0
scifact_dense,indirect_question,semantic,-1,48,0.002777777777777778,0.08333333333333333,0.8541666666666666,0.0
scifact_dense,indirect_question,semantic,2,15,-0.01111111111111111,0.06666666666666667,0.8666666666666667,0.0
scifact_dense,indirect_question,semantic,3,33,0.00909090909090909,0.09090909090909091,0.8484848484848485,0.0
scifact_dense,indirect_question,hyde,-1,48,0.007986111111111112,0.125,0.8333333333333334,0.0
scifact_dense,indirect_question,hyde,2,15,0.011111111111111112,0.06666666666666667,0.8666666666666667,0.0
scifact_dense,indirect_question,hyde,3,33,0.006565656565656566,0.15151515151515152,0.8181818181818182,0.0
scifact_dense,indirect_question,decomposed,-1,48,-0.024305555555555552,0.1875,0.7708333333333334,0.0
scifact_dense,indirect_question,decomposed,2,15,-0.06444444444444444,0.2,0.8,0.0
scifact_dense,indirect_question,decomposed,3,33,-0.006060606060606061,0.18181818181818182,0.7575757575757576,0.0
